company_name;website;sector;country;revenue_euros;employees;founded
Groupe Redman;https://redman.fr;Property;France;41M;40;2007
SFA Transports;https://n/a;Transport;France;2M;12;2012
hajoona;https://hajoona.com;Health;Germany;3M;13;2012
MEP Werke;https://mep-werke.de;Energy;Germany;17M;65;2011
LEYFA Measurement;https://leyfa-measurement.fr;Construction;France;2M;32;2011
DEVUS Autopartner;https://devus.de;Automobiles;Germany;36M;24;2011
SuS Deutschland;https://suselektro.de;Support Services;Germany;2M;55;1980
Cesam;https://cesamcorp.com;Beauty;France;5M;10;2010
Kernel Analytics*;https://kernel-analytics.com;Technology;Spain;3M;42;2013
Akademie für Sport und Gesundheit;https://akademie-sport-gesundheit.de;Health;Germany;2M;15;2010
Rimac Automobili;https://rimac-automobili.com;Automobiles;Croatia;5M;164;2009
Dexga Technologies;https://dexga.com;Technology;Spain;1M;8;2008
LION Smart;https://lionsmart.com;Automobiles;Germany;2M;18;2008
Lottoland*;https://lottoland.co.uk;Games industry;United Kingdom;251M;249;2012
iSpace Informatica;https://emazing.com.es;Technology;Spain;11M;8;2009
Etnia Dreams;https://etniacosmetics.com;Beauty;Spain;5M;200;2012
artos AG;https://artos.ag;Retail;Germany;4M;7;2010
Lemon Way;https://lemonway.com;Fintech;France;6M;56;2007
Net Reviews;https://avis-verifies.com;Support Services;France;2M;23;2012
Crosscall;https://crosscall.com;Technology;France;29M;76;2009
FiloBlu;https://filoblu.com;Ecommerce;Italy;13M;96;2009
TEMPUS Personal;https://tempus-sachsen.de;Support Services;Germany;6M;9;2012
Autodoc;https://autodoc.de;Automobiles;Germany;118M;320;2008
Eden Port*;https://eden-port.com;Personal & Household Goods;France;1M;3;2013
3V Cargo;https://3vcargo.de;Transport;Germany;6M;38;2012
FioulReduc;https://fioulreduc.com;Retail;France;13M;10;2011
Apotea;https://apotea.se;Pharmaceuticals;Sweden;102M;281;2012
MotorK Italia;https://motork.io;Sales & Marketing;Italy;10M;118;2010
Elle Moda;https://pianetaoutlet.it;Ecommerce;Italy;2M;5;2012
Silmares Inversiones;https://pisamonas.es;Fashion;Spain;5M;31;2012
Funiglobal;https://funidelia.info;Ecommerce;Spain;10M;45;2012
Chevalier Technologies;https://chevaliertechnologies.com;Automobiles;United Kingdom;7M;35;2008
Cloudcall Group;https://cloudcall.com;Technology;United Kingdom;5M;89;2012
WBP;https://dewarens.fr;Retail;France;3M;4;2010
Fonix;https://fonix.com;Fintech;United Kingdom;55M;19;2006
BlÃ¡scar;https://blascar.com;Construction;Spain;9M;80;1980
Travellanda;https://Travellanda.com;Travel & Leisure;United Kingdom;60M;40;2010
Boa Concept;https://boaconcept.com;Technology;France;6M;14;2012
convent energy;https://convent-energy.com;Support Services;Germany;7M;262;2007
Crestanevada;https://crestanevada.es;Automobiles;Spain;3M;8;2012
GreenTech Distribution;https://greentechplc.co.uk;Telecoms;United Kingdom;192M;28;2010
Le Slip Français ;https://leslipfrancais.fr;Fashion;France;7M;34;2011
LW Solutions;https://laserwiresolutions.com;Industrial Goods;United Kingdom;1M;14;2011
Consorzio delle Tecnologie;https://consorziodelletecnologie.it;Technology;Italy;5M;1;2006
EFC Norge;https://efcnorge.no;Construction;Estonia;8M;118;2011
Verdnatura Levante;https://verdnatura.es;Retail;Spain;27M;126;2003
Eleanor;https://eleanor-wine.com;Food & Beverage;The Netherlands;4M;5;2012
Red Badger Consulting;https://red-badger.com;Management Consulting;United Kingdom;8M;78;2010
Eredi Rossini Domenico;https://eredirossinidomenico.com;Construction;Italy;17M;4;1977
iZettle;https://izettle.com;Fintech;Sweden;67M;290;2010
Victor;https://flyvictor.com;Travel & Leisure;United Kingdom;36M;55;2010
Lotto24;https://lotto24-ag.de;Games industry;Germany;22M;79;2010
SanaBio;https://sanabio.de;Chemicals;Germany;2M;6;2012
Plug In Digital;https://plug-in-digital.com;Games industry;France;3M;7;2012
Town and Country Vibro*;https://townandcountryvibro.co.uk;Construction;United Kingdom;4M;35;2013
SARL Kapulis;https://n/a;Retail;France;2M;5;2011
Augustin Bau;https://augustinbau.com;Construction;Germany;7M;50;1995
Activos Concursales;https://eactivos.com;Support Services;Spain;3M;14;2009
ZOOT Group;https://zoot.cz;Retail;Czech Republic;26M;700;2012
Trencadis;https://trencadis.ro;Technology;Romania;4M;36;2007
Atlante;https://atlante.fr;Management Consulting;France;2M;13;2011
Milk the Sun;https://milkthesun.de;Energy;Germany;2M;16;2012
Vest Massivhaus;https://vest-massivhaus.de;Construction;Germany;3M;8;2012
Premium Treppenlifte;https://premium-treppenlifte.com;Construction;Germany;2M;8;2004
i Live Holding;https://i-live.de;Construction;Germany;68M;100;2010
Greenstorm mobility;https://greenstorm.eu;Ecommerce;Austria;3M;34;2010
Gruppo Europeo di Ortodonzia*;https://geoortodonzia.it;Health;Italy;1M;15;2013
C & J Direct;https://cjdirect.de;Retail;Germany;14M;54;2002
Ennismore;https://ennismore.com;Travel & Leisure;United Kingdom;17M;73;2012
Appsvision;https://appsvision.fr;Technology;France;5M;40;2011
D. Nava 1961;https://domeniconava.it;Food & Beverage;Italy;6M;n/a;2010
Cotramed*;https://cotramed.com;Transport;Spain;1M;23;2013
Aula Salud;https://aula-salud.com;Education;Spain;5M;26;2008
A-Volute;https://nahimic.com;Technology;France;2M;32;2004
Lexer Abogados;https://lexer.es;Law;Spain;16M;137;2001
M2energie;https://m2energie.com;Energy;Germany;2M;25;2012
AER Trading*;https://aer-trading.com;Food & Beverage;France;2M;1;2013
House To House;https://housetohouse.eu;Sales & Marketing;Italy;6M;18;2012
Trak Global Group;https://trakglobalgroup.com;Technology;United Kingdom;26M;223;2009
What's Beef Assets*;https://whatsbeef.de;Restaurants;Germany;4M;110;2013
Tekdōm;https://tekdom.es;Construction;Spain;2M;14;2011
Ludilabel;https://ludilabel.fr;Retail;France;1M;14;2011
Davricourt;https://davricourt.com;Management Consulting;France;16M;200;2011
ShowTruckMarketing;https://showtruck-marketing.com;Advertising;Germany;4M;12;2009
SK Servicios;https://skservicios.es;Architecture;Spain;1M;10;2005
Join Business MC*;https://joinbusinessmc.com;Management Consulting;Italy;2M;20;2013
Neon Diagnostics;https://neondiagnostics.co.uk;Health;United Kingdom;5M;12;2011
Testbirds;https://testbirds.de;Technology;Germany;4M;85;2011
Pam Mobility;https://pammobility.com;Health;Italy;1M;6;2010
Joii Sushi*;https://joiisushi.com;Food & Beverage;United Kingdom;19M;19;2012
Griffin Markets Group;https://griffinmarkets.com;Financial Services;United Kingdom;12M;26;2011
Dogu AS;https://dogu.io;Technology;Norway;1M;15;2011
Tiendeo Web Marketing;https://tiendeo.com;Sales & Marketing;Spain;4M;75;2011
G.I.A. Consulting*;https://giaconsulting.it;Support Services;Italy;2M;10;2013
Greendonkey;https://greendonkey.de;Ecommerce;Germany;2M;9;2011
CH Montferrer*;https://n/a;Retail;Spain;8M;52;2013
Azuri Technologies;https://azuri-technologies.com;Technology;United Kingdom;2M;20;2012
myElefant;https://myelefant.com;Sales & Marketing;France;4M;21;2010
ProfixSystemleasing;https://profixsystemleasing.de;Automobiles;Germany;4M;5;2008
Obelisk Legal Support Solutions;https://obelisksupport.com;Law;United Kingdom;2M;7;2010
Flat Iron Steak;https://flatironsteak.co.uk;Restaurants;United Kingdom;9M;157;2012
Le Petit Vapoteur;https://lepetitvapoteur.com;Retail;France;24M;45;2012
Tixalia Worldwide;https://tixalia.com;Travel & Leisure;Spain;4M;8;2011
Aprotecnic;https://aprotecnic.com;Architecture;Spain;4M;84;2010
Alameda;https://alameda.com.es;Restaurants;Spain;2M;45;2011
H & D HolzTec;https://holztec.de;Construction;Germany;3M;2;2000
Estructuras Arqué©;https://estructurasarque.com;Construction;Spain;7M;37;2001
Ozaroo;https://ozaroo.com;Ecommerce;United Kingdom;10M;8;2010
Creotech Instruments S.A.;https://creotech.pl;Technology;Poland;1M;32;2008
SFAM;https://assurances-sfam.fr;Insurance;France;134M;600;1999
Mr. Wonderful Comunication;https://mrwonderful.es;Ecommerce;Spain;30M;72;2011
Trustly;https://trustly.com;Fintech;Sweden;32M;150;2008
e-r-s materials;https://e-r-s.eu;Retail;Germany;7M;5;2008
TenderHut SA;https://tenderhut.com;Technology;Poland;2M;26;2010
InnovaMaxx (Sportstech);https://innovamaxx.de;Retail;Germany;8M;33;2012
richtigstrom;https://richtigstrom.de;Energy;Germany;18M;10;2006
Procemo;https://procemo.com;Support Services;France;2M;35;2012
BookingBug;https://bookingbug.co.uk;Technology;United Kingdom;5M;63;2008
Lazer Lamps;https://lazerlamps.com;Automobiles;United Kingdom;2M;18;2010
FBG;https://blendplants.com;Industrial Goods;Italy;3M;15;2011
Acondistec;https://acondistec.de;Retail;Germany;9M;13;2004
Xpose360;https://xpose360.de;Advertising;Germany;2M;30;2009
Jobzone Deutschland;https://jobzone-deutschland.de;Support Services;Germany;3M;91;2011
FFG FINANZCHECK Finanzportale;https://finanzcheck.de;Financial Services;Germany;26M;165;2009
DoveConviene;https://shopfullygroup.com;Advertising;Italy;11M;134;2011
