,Unnamed: 0,ticker,name,website,headquarter,employees,industry,type,source
1641,1641,JEDT,JPMorgan Euro Small Companies Trust Plc (JEDT),am.jpmorgan.co.uk/investment-trusts/trusts/european-smaller-companies-jpm-it.aspx?isin=GB00BMTS0Z37,"60 Victoria Embankment London, EC4Y 0JP United Kingdom",-,Capital Markets,Closed-End,investing
1642,1642,ELUXb,Electrolux AB Class B (ELUXb),www.electroluxgroup.com,"S:t Goransgatan 143 Stadshagen Stockholm, 105 45 Sweden",48000,Household Durables,ORD,investing
1643,1643,MGAMM,Morgan Advanced Materials Plc (MGAMM),www.morganadvancedmaterials.com,"York House Sheet Street Windsor, SL4 1DD United Kingdom",7466,Machinery,ORD,investing
1644,1644,BWY,Bellway PLC (BWY),www.bellwayplc.co.uk,"Woolsington House Woolsington Newcastle upon Tyne, NE13 8BF United Kingdom",2908,Household Durables,ORD,investing
1645,1645,TFFP,Television Francaise 1 SA (TFFP),www.groupe-tf1.fr,"1, quai du Point-du-Jour Cedex Boulogne, 92656 France",3156,Media,ORD,investing
1646,1646,PSN,Persimmon PLC (PSN),www.persimmonhomes.com,"Persimmon House Fulford York, YO19 4FE United Kingdom",5000,Household Durables,ORD,investing
1647,1647,NTR,Nutrien Ltd (NTR),www.nutrien.com,"122 – 1st Avenue South Suite 500 Saskatoon, S7K 7G3 Canada",23100,Chemicals,ORD,investing
1648,1648,SNGRq,Societatea Nationala de Gaze Naturale Romgaz SA DRC (SNGRq),www.romgaz.ro,"Piata Constantin I. Motas. nr. 4 Medias, 551130 Romania",6066,"Oil, Gas & Consumable Fuels",DRC,investing
1649,1649,ABBV,AbbVie Inc (ABBV),www.abbvie.com,"1 North Waukegan Road North Chicago, 60064-6400 United States",50000,Biotechnology,ORD,investing
1650,1650,TL5,Mediaset ESP (TL5),www.mediaset.es,"Crta de Fuencarral to Alcobendas, no. 4 Madrid, 28049 Spain",1555,Media,ORD,investing
1651,1651,AMSU,Advanced Medical Solutions Group (AMSU),www.admedsol.com,"Premier Park 33 Road One Winsford Industrial Estate Winsford, CW7 3RT United Kingdom",700,Health Care Equipment & Supplies,ORD,investing
1652,1652,HBMN,HBM Healthcare Investments (HBMN),www.hbmhealthcare.com,"Bundesplatz 1 PO-Box 1145 Zug, 6301 Switzerland",700,Capital Markets,ORD,investing
1653,1653,LAND,Land Securities Group PLC (LAND),www.landsec.com,"100 Victoria Street London, SW1E 5JL United Kingdom",530,Equity Real Estate Investment Trusts (REITs),ORD,investing
1654,1654,ABBN,ABB Ltd (ABBN),www.global.abb/group,"Affolternstrasse 44 Zurich, 8050 Switzerland",105000,Electrical Equipment,ORD,investing
1655,1655,CCH,Coca Cola HBC AG (CCH),www.coca-colahellenic.com,"Turmstrasse 26 Steinhausen, 6312 Switzerland",26000,Beverages,ORD,investing
1656,1656,HRMS,Hermes International SCA (HRMS),finance.hermes.com,"24, rue du Faubourg-Saint-Honoré Paris, 75008 France",16966,"Textiles, Apparel & Luxury Goods",ORD,investing
1657,1657,TBCG,TBC Bank Group PLC (TBCG),www.tbcbankgroup.com,"7 Marjanishvili Street Tbilisi, 0102 Georgia",8937,Banks,ORD,investing
1658,1658,CHBE,Beneteau SA (CHBE),www.beneteau-group.com,"Les Embruns 16 boulevard de la Mer Saint-Gilles-Croix-de-Vie, 85803 France",7528,Leisure Products,ORD,investing
1659,1659,BERGb,Bergman & Beving AB (BERGb),www.bergmanbeving.com,"Box 10024 Stockholm, 100 55 Sweden",1207,Trading Companies & Distributors,ORD,investing
1660,1660,IMTP,Imerys SA (IMTP),www.imerys.com,"43 Quai de Grenelle Paris, 75015 France",-,Construction Materials,ORD,investing
1661,1661,MPL,Mercantile Ports & Logistics Ltd (MPL),www.mercpl.com,"Tudor House 1st Floor Le Bordage Road Saint Peter Port, GY1 1DB Guernsey",59,Transportation Infrastructure,ORD,investing
1662,1662,MPC,Marathon Petroleum Corp (MPC),www.marathonpetroleum.com,"539 South Main Street Findlay, 45840 United States",57900,"Oil, Gas & Consumable Fuels",ORD,investing
1663,1663,AML,Aston Martin Lagonda Global Holdings PLC (AML),www.astonmartinlagonda.com,"Banbury Road Gaydon, CV35 0DB United Kingdom",2342,Automobiles,ORD,investing
1664,1664,FEV,Fidelity European Values (FEV),www.fidelity.co.uk/investor/investment-trusts/european-values-plc.page,"Beech Gate Millfield Lane Lower Kingswood Tadworth, KT20 6RP United Kingdom",-,Capital Markets,Closed-End,investing
1665,1665,CHRH,Chr Hansen Holding A/S (CHRH),www.chr-hansen.com,"Boege AllE 10-12 Horsholm, 2970 Denmark",3702,Chemicals,ORD,investing
1666,1666,PRY,Prysmian SpA (PRY),www.prysmiangroup.com,"Via Chiese 6 Milan, 20126 Italy",30096,Electrical Equipment,ORD,investing
1667,1667,BIRG,Bank of Ireland Group PLC (BIRG),www.bankofireland.com,"40 Mespil Road Dublin, 4 Ireland",9211,Banks,ORD,investing
1668,1668,WWH,Worldwide Healthcare Trust Plc (WWH),www.worldwidewh.com,"601 Lexington Avenue 54th Floor New York, 10022 United States",-,Capital Markets,Closed-End,investing
1669,1669,NOVN,Novartis AG (NOVN),www.novartis.com,"Lichtstrasse 35 Basel, 4056 Switzerland",108000,Pharmaceuticals,ORD,investing
1670,1670,HUH1V,Huhtamaki Oyj (HUH1V),www.huhtamaki.com,"Revontulenkuja 1 Espoo, 02100 Finland",19363,Containers & Packaging,ORD,investing
1671,1671,NBPE,NB Private Equity Partners Ltd (NBPE),www.nbprivateequitypartners.com,"325 North Saint Paul Street Suite 4900 Dallas, 75201-3881 United States",1600,Capital Markets,ORD,investing
1672,1672,SMSS,Smart Metering Systems Plc (SMSS),www.sms-plc.com,"48 St. Vincent Street 2nd Floor Glasgow, G2 5TS United Kingdom",1100,Commercial Services & Supplies,ORD,investing
1673,1673,HEX,Hexagon Composites ASA (HEX),www.hexagongroup.com,"Korsegata 4B PO Box 836 Sentrum Ålesund, 6002 Norway",1060,Machinery,ORD,investing
1674,1674,FEVR,Fevertree Drinks PLC (FEVR),www.fever-tree.com,"186 -188 Shepherds Bush Road London, W6 7NL United Kingdom",250,Beverages,ORD,investing
1675,1675,SOI,Schroder Oriental Income Fund (SOI),www.schroders.com/en/uk/private-investor/fund-centre/prices-and-performance/?p=details&code=GB00B0CR,"1 London Wall Place London, EC2Y 5AU United Kingdom",-,Capital Markets,Closed-End,investing
