active_years,agency_links,agency_names,association_links,association_names,birth_name,birth_place,bloodtype,family,family_links,fandom,fandom_colors,group_debut,height,instruments,legal_name,link,name,occupation,partner_links,partners,socials,solo_debut,weight
2015–present,,,"https://kpop.fandom.com//wiki/One_O_One,https://kpop.fandom.com//wiki/S.O.U.L","One O One,S.O.U.L",Ahn Hyo-seop (안효섭),"Seoul, South Korea",A,,,,,"October 1, 2015",188 cm (6 ft 2 in),"Piano, violin",,https://kpop.fandom.com/wiki/Ahn_Hyo_Seop,Ahn Hyo Seop,"Actor, singer",,,"https://www.facebook.com/OfficialAhnHyoseop,https://www.instagram.com/imhyoseop/",,
2015–present,,,https://kpop.fandom.com//wiki/PPL,PPL,Park Young-shin (박영신),"Anyang, South Korea",,,,,,,169 cm (5 ft 7 in),,,https://kpop.fandom.com/wiki/Ah_Hee,Ah Hee,"Model, singer",,,https://www.instagram.com/omingky120/,,49 kg (108 lb)
2016–present,https://kpop.fandom.com//wiki/MLD_Entertainment,MLD Entertainment,"https://kpop.fandom.com//wiki/MOMOLAND,https://kpop.fandom.com//wiki/Finding_Momoland","MOMOLAND,Finding Momoland",Lee Ah-in (이아인),"Wonju, South Korea",A,,,,,"November 10, 2016",160 cm (5 ft 3 in),,,https://kpop.fandom.com/wiki/Ahin,Ahin,Singer,,,,,44 kg (97 lb)
2011–present,"https://kpop.fandom.com//wiki/SidusHQ,https://kpop.fandom.com//wiki/Happy_Face_Entertainment","SidusHQ,Happy Face Entertainment",https://kpop.fandom.com//wiki/Dalshabet,Dalshabet,Cho Ja-young (조자영),"Seoul, South Korea",O,,,,,"January 6, 2011",166 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Ah_Young_(Dalshabet),Ah Young,"Rapper, singer, actress",,,"https://www.instagram.com/dalsooobin/,https://twitter.com/dal_sooobin",,47 kg (104 lb)
2021–present,,,https://kpop.fandom.com//wiki/LOUD,LOUD,Ahn Jae–ho (안재호),,,,,,,,,,,https://kpop.fandom.com/wiki/Ahn_Jae_Ho,Ahn Jae Ho,"Dancer, singer",,,,,
2019–present,,,https://kpop.fandom.com//wiki/Episode,Episode,Han A-reum (한아름),"Incheon, South Korea",B,,,,,"February 4, 2020",,,,https://kpop.fandom.com/wiki/Areum_(Episode),Areum,Rapper,,,,,
2019–present,https://kpop.fandom.com//wiki/JZ_Factory,JZ Factory,"https://kpop.fandom.com//wiki/AREAL,https://kpop.fandom.com//wiki/Rose_Finger","AREAL,Rose Finger",Kim Da-un (김다운),"Daegu, South Korea",O,,,,Yellow,"November 11, 2019",163 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Areum_(AREAL),Areum,"Rapper, singer",,,https://www.instagram.com/areum___daun/,,47 kg (104 lb)
2012–present,https://kpop.fandom.com//wiki/Core_Contents_Media,Core Contents Media,"https://kpop.fandom.com//wiki/T-ARA,https://kpop.fandom.com//wiki/T-ARA_N4,https://kpop.fandom.com//wiki/The_Unit","T-ARA,T-ARA N4,The Unit",Lee A-reum (이아름),"Jongno-gu, Seoul, South Korea",O,,,,,"July 3, 2012",168 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Areum_(T-ARA),Areum,"Singer, rapper",,,,,49 kg (108 lb)
2017,https://kpop.fandom.com//wiki/A100_Entertainment,A100 Entertainment,https://kpop.fandom.com//wiki/NeonPunch,NeonPunch,Son Min-jeong (손민정),South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Arang_(NeonPunch),Arang,Singer,,,,,
2018–present,https://kpop.fandom.com//wiki/MyDoll_Entertainment,MyDoll Entertainment,"https://kpop.fandom.com//wiki/PinkFantasy,https://kpop.fandom.com//wiki/PinkFantasy_Shadow,https://kpop.fandom.com//wiki/Sugar_Powder","PinkFantasy,PinkFantasy Shadow,Sugar Powder",Park Ye-rim (박예림),"Cheongju, South Korea",AB,,,,Red,"October 24, 2018",167 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Arang_(PinkFantasy),Arang,Singer,,,https://www.instagram.com/arang_official_md/,,
2011–present,https://kpop.fandom.com//wiki/Wellmade_StarM,Wellmade StarM,https://kpop.fandom.com//wiki/AA_(group),AA,Park Geun-lee (박근이),,,,,,,"November 3, 2011",176 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/Aoora,Aoora,"Rapper, singer",,,"https://www.facebook.com/channelAOORA,https://www.instagram.com/aoora69/,https://www.youtube.com/channel/UCXIF-aUFn6fwTU5YhwbXxAA","March 28, 2014",61 kg (134 lb)
2017–2018,https://kpop.fandom.com//wiki/Jungle_Entertainment,Jungle Entertainment,https://kpop.fandom.com//wiki/VARSITY,VARSITY,Anthony Lo,,,,,,,"January 5, 2017",180 cm (5 ft 11 in),,,https://kpop.fandom.com/wiki/Anthony,Anthony,"Singer, rapper",,,https://www.instagram.com/alokeytho/,,57 kg (126 lb)
2021–present,,,"https://kpop.fandom.com//wiki/Produce_X_101,https://kpop.fandom.com//wiki/Wild_Idol","Produce X 101,Wild Idol",Anzardi Timothée,,,,,,,,,Guitar,,https://kpop.fandom.com/wiki/Anzardi_Timoth%C3%A9e,Anzardi Timothée,Model,,,https://www.instagram.com/tim_0thee/,,
2011–present,,,https://kpop.fandom.com//wiki/Seven_O%27clock,Seven O'clock,Lui Chun Yeung,Hong Kong,,,,,,"February 21, 2019",178 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Andy_(Seven_O%27clock),Andy,Singer,,,"https://www.instagram.com/andylui_cy/,https://twitter.com/forest_andylui,https://www.youtube.com/channel/UCpzQNxu1al9cyH3Xq25-xTA",,
2017–2021,https://kpop.fandom.com//wiki/XX_Entertainment,XX Entertainment,"https://kpop.fandom.com//wiki/S.I.S,https://kpop.fandom.com//wiki/The_Unit","S.I.S,The Unit",Kim Seung-yeon (김승연),"Daegu, South Korea",O,,,,,"August 25, 2017",162 cm (5 ft 4 in),,Kim Ji-on (김지온),https://kpop.fandom.com/wiki/Anne_(S.I.S),Anne,Singer,,,https://www.instagram.com/jion_anne_on/,,
2018–present,"https://kpop.fandom.com//wiki/The_Wave_Music,https://kpop.fandom.com//wiki/MILES,https://kpop.fandom.com//wiki/Kiwi_Pop","The Wave Music,MILES,Kiwi Pop",https://kpop.fandom.com//wiki/GWSN,GWSN,Lee Seo-young (이서영),"Daejeon, South Korea",A,,,,,"September 5, 2018",164 cm (5 ft 5 in),Piano,,https://kpop.fandom.com/wiki/Anne_(GWSN),Anne,"Singer, rapper",,,,,
2017–2018,,,https://kpop.fandom.com//wiki/UNICA,UNICA,Song Ju-hyeon (송주현),South Korea,,,,,,"November 13, 2017",168 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Anna_(UNICA),Anna,Singer,,,https://www.instagram.com/hyeon.__.jj/,,52 kg (115 lb)
2012–present,https://kpop.fandom.com//wiki/YGX_Entertainment,YGX Entertainment,,,Won Min-ji (원민지),"Gupabal-dong, Eunpyeong-gu, Seoul, South Korea",O,,,,,,173 cm (5 ft 8 in),"Piano, ukulele",,https://kpop.fandom.com/wiki/Anda_(singer),Anda,Singer,,,"https://www.instagram.com/anda_kiss/,https://www.youtube.com/channel/UCZOibgGOcwzlO5K-ur4SeXw",,51 kg (112 lb)
2009–present,"https://kpop.fandom.com/#cite_note-U.S.-1,https://kpop.fandom.com//wiki/SM_Entertainment","[1],SM Entertainment",https://kpop.fandom.com//wiki/F(x),f(x),Amber Josephine Liu,"Los Angeles, California, United States",B,Jackie Liu,[None],,,"September 1, 2009",167 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Amber,Amber,"Rapper, singer, songwriter",,,"https://www.instagram.com/ajol_llama/,https://www.tiktok.com/@llamaber,https://twitter.com/ajol_llama,https://www.youtube.com/channel/UC0eG3qqrwcTgBb8_QjEYn-g","February 16, 2015",51 kg (112 lb)
2007–present,"https://kpop.fandom.com//wiki/KeyEast,https://kpop.fandom.com//wiki/JYP_Entertainment","KeyEast,JYP Entertainment",https://kpop.fandom.com//wiki/Wonder_Girls,Wonder Girls,Ahn So-hee (안소희),"Seoul, South Korea",AB,,,,,"February 13, 2007",163 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/An_So_Hee,Sohee,"Actress, singer",,,"https://www.instagram.com/ssoheean/,https://bhent.co.kr/artist/an-so-hee",,43 kg (95 lb)
2013–present,https://kpop.fandom.com//wiki/Stone_Music_Entertainment,Stone Music Entertainment,"https://kpop.fandom.com//wiki/DIA_(singer),https://kpop.fandom.com//wiki/Baro,https://kpop.fandom.com//wiki/Dong_Woo","DIA,Baro,Dong Woo",Go Ah-mi (고아미),South Korea,A,,,,,,164 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Ami_(singer),Ami,"Singer-songwriter, musical actress",,,"https://www.facebook.com/zinifox,https://www.instagram.com/koami__/,https://twitter.com/AmiAmiofficial","March 27, 2013",50 kg (110 lb)
2021–present,"https://kpop.fandom.com//wiki/JYP_Entertainment,https://kpop.fandom.com//wiki/YG_Entertainment_Japan","JYP Entertainment,YG Entertainment Japan","https://kpop.fandom.com//wiki/JYPE_LOUD,https://kpop.fandom.com//wiki/LOUD","JYPE LOUD,LOUD",Mitsuyuki Amaru (光之 余る),"Saitama, Japan",O,,,,,,,,,https://kpop.fandom.com/wiki/Amaru,Amaru,Singer,,,,,
2020–present,"https://kpop.fandom.com//wiki/Starship_Entertainment,https://kpop.fandom.com//wiki/JYP_Entertainment","Starship Entertainment,JYP Entertainment",https://kpop.fandom.com//wiki/CRAVITY,CRAVITY,Allen Ma,"Taipei, Taiwan",A,,,,,"April 14, 2020",,,,https://kpop.fandom.com/wiki/Allen_(CRAVITY),Allen,"Dancer, Rapper",,,,,
2016–present,https://kpop.fandom.com//wiki/ZB_Label,"ZB Label,ICM Partners",https://kpop.fandom.com//wiki/Produce_48,Produce 48,Alexaundra Christine Schneiderman,"Tulsa, Oklahoma, United States",,,,A.I Trooper,,,149 cm (4 ft 11 in),,Kim Se-ri (김세리),https://kpop.fandom.com/wiki/AleXa,AleXa,"Singer, Dancer, Songwriter",,,"https://www.facebook.com/ZBAleXa,https://www.instagram.com/alexa_zbofficial/,https://www.tiktok.com/@alexa_zbofficial,https://twitter.com/Alexa_zb,https://www.youtube.com/channel/UCWWzmRMh6BPcEt46XlTyp1w","October 21, 2019",41 kg (90 lb)
2019–present,,M Flow Entertainment,https://kpop.fandom.com//wiki/DELUXE,DELUXE,Anunta Teavirat,,,,,,,"May 22, 2019",,,,https://kpop.fandom.com/wiki/Anda_(DELUXE),Anda,Singer,,,https://www.instagram.com/hi_anda/,,
2020–present,https://kpop.fandom.com//wiki/Woollim_Entertainment,Woollim Entertainment,https://kpop.fandom.com//wiki/DRIPPIN,DRIPPIN,Alexander Vincent Schmidt,"Mainz, Germany",,,,,,"October 28, 2020",,,,https://kpop.fandom.com/wiki/Alex_(DRIPPIN),Alex,"Rapper, singer",,,,,
2011–present,https://kpop.fandom.com//wiki/DR_Music,DR Music,https://kpop.fandom.com//wiki/RaNia,RaNia,Alexandra Reid Varley,"Kansas, United States",,,,,,"November 4, 2015",,,,https://kpop.fandom.com/wiki/Alex_(RaNia),Alex,"Singer, rapper, actress",,,"https://www.facebook.com/thealexreid,https://www.instagram.com/thealexreid/,https://soundcloud.com/SoAlexReid,https://twitter.com/thealexreid","August 31, 2012",
2014-present,,,https://kpop.fandom.com//wiki/AlphaBAT,AlphaBAT,Ji Ha-yong (지하용),,O,,,,,"November 11, 2014",173 cm,,,https://kpop.fandom.com/wiki/B:eta,B:eta,Singer,,,"https://www.instagram.com/apb_beta/,https://twitter.com/alphabat_hy",,60 kg
2018–present,,,https://kpop.fandom.com//wiki/FlyWithMe,FlyWithMe,– So-young (–소영),,,,,,,"June 27, 2018",172 cm (5 ft 8 in),,,https://kpop.fandom.com/wiki/Babi,Babi,"Singer, dancer, model",[None],Jeong Yong Hyun,https://www.instagram.com/babibora._.v/,,48 kg (106 lb)
2017-2019,,,https://kpop.fandom.com//wiki/14U,14U,Lee Young-su (이영수),,A,,,,,"July 22, 2017",178 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/B.S_(14U),B.S,Rapper,,,"https://www.instagram.com/youngsuc0m/,https://www.instagram.com/youngsuc0m/",,60 kg (130 lb)
2009–present,"https://kpop.fandom.com//wiki/131_Label,https://kpop.fandom.com//wiki/IOK_Music,https://kpop.fandom.com//wiki/YG_Entertainment","131 Label,IOK Music,YG Entertainment",https://kpop.fandom.com//wiki/IKON,iKON,Kim Han-bin (김한빈),"Seoul, South Korea",O,,,ID (아이디),,"September 15, 2015",175 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/B.I,B.I,"Rapper, singer, songwriter, composer, producer",,,"http://cafe.daum.net/BIOFFICIAL,https://www.instagram.com/shxxbi131/,https://soundcloud.com/user-337673291,https://www.tiktok.com/@bi_131_bi?,https://twitter.com/shxx131bi131,https://twitter.com/bijapanofficial","March 19, 2021",60 kg (130 lb)
2019-present,,,https://kpop.fandom.com//wiki/HitGirlz,HitGirlz,Hayasi Ayu (林 愛結),"Niigata, Japan",,,,,,,,,,https://kpop.fandom.com/wiki/Ayu,Ayu,"Dancer, singer",,,"https://www.facebook.com/aimie.yamazaki.5,https://www.instagram.com/ayunzel33/,https://twitter.com/ayunzel33",,
2013–present,https://kpop.fandom.com//wiki/Hunus_Entertainment,Hunus Entertainment,https://kpop.fandom.com//wiki/XENO-T,XENO-T,Kim Byung-joo (김병주),"Seoul, South Korea",B,,,,,"October 22, 2013",175 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/B-Jyoo,B-Jyoo,Singer,,,https://www.instagram.com/bbangjooo/,,
2011–present,https://kpop.fandom.com//wiki/Seven_Seasons,Seven Seasons,https://kpop.fandom.com//wiki/Block_B,Block B,Lee Min-hyuk (이민혁),"Seoul, South Korea",,,,,,"June 23, 2011",,,,https://kpop.fandom.com/wiki/B-Bomb,B-Bomb,Singer,,,"https://www.facebook.com/Bbomb2011,https://www.instagram.com/bbomb2011/,https://twitter.com/BlockB2011","July 2, 2019",
2016–2019,,,https://kpop.fandom.com//wiki/LIVE_HIGH,LIVE HIGH,Lee So-yun (이소윤),South Korea,,,,,,"May 9, 2016",165 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Ceena,Ceena,Singer,,,https://www.instagram.com/soyun_eeee/,,
2017-present,https://kpop.fandom.com//wiki/Vine_Entertainment,Vine Entertainment,"https://kpop.fandom.com//wiki/JxR,https://kpop.fandom.com//wiki/MIXNINE,https://kpop.fandom.com//wiki/Produce_X_101","JxR,MIXNINE,Produce X 101",Jung Baek-jin (정백진),"Gwangju, South Korea",AB,"Jung Yujin,Baek Joong Hoon","https://kpop.fandom.com//wiki/Yujin_(ShaFLA),https://kpop.fandom.com//wiki/Baek_Joong_Hoon",,,"December 5, 2019",174cm,,,https://kpop.fandom.com/wiki/Baekjin,Baekjin,"Tattoo artist, singer, rapper",,,"https://www.instagram.com/superjin______100/,https://www.youtube.com/channel/UClBRVQVdhpsQM3SSay45D4w",,68kg
2018–present,https://kpop.fandom.com//wiki/Cube_Entertainment,Cube Entertainment,https://kpop.fandom.com//wiki/A_Train_to_Autumn,A Train to Autumn,Lee A-young (이아영),South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Ayoung_(A_Train_to_Autumn),Ayoung,Singer,,,"https://www.instagram.com/layounggg/,https://www.youtube.com/channel/UCc5WhX826ZWrOxpK5rbXieQ",,
2011–present,https://kpop.fandom.com//wiki/TOP_Media,TOP Media,https://kpop.fandom.com//wiki/MCND,MCND,Son Seong-jun (손성준),"Seoul, South Korea",O,,,,,"February 27, 2020",,,,https://kpop.fandom.com/wiki/Castle_J,Castle J,"Rapper, dancer, actor",,,,,
2012–present,,,https://kpop.fandom.com//wiki/CROSS_GENE,CROSS GENE,Chǔ Xiǎo Xiáng (储晓祥),"Shanghai, China",O,,,,,,178 cm,,,https://kpop.fandom.com/wiki/Casper,Casper,"Rapper, actor, model",,,,,66 kg
"2004–2005, 2012–present","https://kpop.fandom.com//wiki/Yue_Hua_Entertainment,https://kpop.fandom.com//wiki/FAVE_Entertainment","Yue Hua Entertainment,FAVE Entertainment",https://kpop.fandom.com//wiki/FIESTAR,FIESTAR,Cáo Lù (曹璐),"Zhangjiajie, Hunan, China",O,,,,,"August 31, 2012",166 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Cao_Lu,Cao Lu,"Singer, actress",,,https://www.instagram.com/better_me_caolu/,,51 kg (112 lb)
2014–present,https://kpop.fandom.com//wiki/Zenith_Media_Contents,"Zenith Media Contents,Viva Records","https://kpop.fandom.com//wiki/Z-Girls,https://kpop.fandom.com//wiki/Z-Girls_T.P.I","Z-Girls,Z-Girls T.P.I,Pop Girls",Carlyn Cabel Ocampo,"Cavite, Philippines",,,,,,"December 27, 2016",160 cm (5 ft 3 in),,,https://kpop.fandom.com/wiki/Carlyn,Carlyn,Singer,[None],Von Ordoña,"https://www.facebook.com/officialcarlynocampo,https://www.instagram.com/carlyncabel/",,45 kg (99 lb)
